stid,station_name,latitude,longitude,elevation,country,ncei91,nyear,DJF,MAM,JJA,SON
PALP,Alpine,70.3443,-150.9447,7.998743,US,USC00500235,17,0.00533782559484897,0.03862838524911248,0.8202807639867276,0.12348145913751295
PAFM,AMBLER,67.10631,-157.85747,88.0,US,USC00503212,7,0.016401467094104647,0.20847123277291066,0.9991795593061417,0.40356761159141713
PAKP,ANAKTUVUK PASS,68.1336,-151.74334,643.0,US,USW00026533,5,0.0030973080693673396,0.114507352247428,0.9488601956411066,0.19016503642882254
PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611,40.0,US,USW00026451,44,0.1519191122520831,0.5103264899506289,1.0,0.6930049274677587
PANV,ANVIK AIRPORT,62.64733,-160.19007,99.0,US,USW00026502,3,0.08539900874777447,0.44204208044807974,1.0,0.5682757576351782
PARC,ARCTIC VILLAGE,68.11467,-145.57942,636.0,US,USC00501987,5,0.006555461881247742,0.39540196180266907,0.9879203879203879,0.2390637086477718
PABR,BARROW/POST-ROGERS (ASOS),71.28257,-156.79224,4.0,US,USW00027502,44,0.029099232554919162,0.04196783106148963,0.6445395132233851,0.09759645880558122
PABE,BETHEL AIRPORT (ASOS),60.78583,-161.82639,46.0,US,USW00026615,44,0.16334836671169953,0.3958903308819388,0.9989572824223052,0.6164895621701918
PABT,Bettles Field,66.9165,-151.5189,199.0,US,USW00026533,43,0.006583475590149387,0.22748703828020694,0.9977513280664175,0.2578906324964728
PABV,BIRCHWOOD,61.41639,-149.50722,29.0,US,USC00502645,7,0.18137816147586894,0.6897206496104408,1.0,0.7063175372965897
PABL,BUCKLAND,65.98157,-161.14907,13.125138,US,USW00026616,6,0.03376221245354029,0.26030478350780084,0.9952245927696591,0.34427508590747447
PAVA,Chevak,61.5408,-165.6009,23.0,US,USW00026617,11,0.15655956201207435,0.32537212327701504,0.9980173704702006,0.6486547213657871
PACV,CORDOVA/MILE 13,60.48889,-145.45111,13.0,US,USW00026410,44,0.6477236449340507,0.796409023697358,1.0,0.9219305075853939
PASC,DEADHORSE (ASOS),70.19475,-148.46517,17.0,US,USW00027406,40,0.018346712645806448,0.04313315017137042,0.7846659751932805,0.10123181651138784
PADE,DEERING AIRPORT (ASOS),66.06956,-162.76637,4.0,US,USW00026616,21,0.26744140967849933,0.36384979226704867,0.9818841460326024,0.47884588823012453
PAEG,EAGLE AIRPORT (ASOS),64.77808,-141.14961,77.0,US,USW00026422,22,0.07128779623852315,0.4057309531478136,1.0,0.33389488255116617
PAEI,EIELSON AFB,64.66567,-147.1015,167.0,US,USC00502707,43,0.017611108764211677,0.32058351121722084,0.9994863243886046,0.2608611143933081
PAZK,EUREKA,61.937,-147.169,1002.0,US,USC00505397,3,0.0158810963292418,0.4071390086968883,0.9982509199052372,0.39733761291673
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,138.0,US,USW00026411,44,0.010059471661460399,0.291159460490669,0.9999200639488409,0.25635686741688724
PFYU,FORT YUKON (AWOS),66.56667,-145.26667,131.0,US,USC00501987,10,0.0060641655267345395,0.22044334412675357,1.0,0.24060485079524116
PABI,FT.GREELY/ALLEN AAF (ASOS),63.995,-145.71833,398.0,US,USW00026415,43,0.025195703712585272,0.3047972794291368,0.9978211955927694,0.22253429387919463
PAGA,GALENA AIRPORT,64.73618,-156.93742,46.0,US,USC00503212,39,0.025150989450268318,0.2846363017730822,0.9993327898395262,0.3594984797379629
PAGL,GOLOVIN,64.54333,-163.03944,8.0,US,USW00026616,2,0.12238252801999268,0.3644656413951516,0.9984924623115579,0.4790154065825713
PAGK,GULKANA ARPT (ASOS),62.1602,-145.457,481.0,US,USW00026425,43,0.04391535691997155,0.3785499878542092,0.9992592592592593,0.38449994309575314
PAHL,Huslia,65.69786,-156.35139,67.0,US,USC00503212,13,0.28253044099706187,0.6281747483940214,1.0,0.7153300872720334
PAIM,INDIAN MTN AFS AWOS,65.99276,-153.70377,389.0,US,USW00026529,16,0.006186034910938554,0.25041080959634116,0.9955329766169749,0.28469271294239545
PALG,KALSKAG,61.53627,-160.34133,17.0,US,USW00026615,10,0.23364192177649917,0.4579422435615172,1.0,0.6383401930538074
PAKV,KALTAG AIRPORT (ASOS),64.31898,-158.74131,60.0,US,USW00026502,21,0.23590055027375154,0.5135378839443847,0.9983632928632423,0.5426972107440317
PAEN,KENAI MUNICIPAL (ASOS),60.5797,-151.2391,29.0,US,USW00026523,44,0.196631851343027,0.51910449712197,0.9997777777777779,0.7204435091403742
PAIK,Kiana,66.97595,-160.43653,51.0,US,USW00026616,13,0.028667788579477774,0.2215193379438008,0.9979694407483436,0.4044906065928572
